Item,Form,RetailPrice,RetailPriceUnit,PricePer100Grams
"Lettuce, romaine, hearts",Fresh,2.5766,per pound,0.5680430271759404
Lima beans,Canned,1.4004,per pound,0.3087353315443557
Lima beans,Frozen,1.8995,per pound,0.41876803932341017
Lima beans,Dried,2.1861,per pound,0.4819525194866581
"Mixed vegetables, peas & carrots",Canned,1.5339,per pound,0.3381670415994624
"Mixed vegetables, peas & carrots",Frozen,1.5296,per pound,0.33721905393476614
"Mixed vegetables, peas, corn, green beans",Frozen,1.5978,per pound,0.352254579221345
"Mixed vegetables, broccoli, cauliflower, carrots",Frozen,2.0033,per pound,0.44165202062468417
"Mushrooms, whole",Fresh,3.4464,per pound,0.759801090141722
"Mushrooms, sliced",Fresh,3.6417,per pound,0.8028573670987433
Mustard greens,Canned,1.0496,per pound,0.23139717508494415
Mustard greens,Frozen,1.9288,per pound,0.42522758317820136
Navy beans,Canned,1.0492,per pound,0.23130899018590256
Navy beans,Dried,1.4942,per pound,0.3294146903695917
Okra,Fresh,3.9803,per pound,0.8775058841373886
Okra,Frozen,1.8562,per pound,0.40922202400216584
Olives,Canned,5.7719,per pound,1.272486046944349
Onions,Fresh,0.9751,per pound,0.21497273763846134
Pinto beans,Canned,0.8742,per pound,0.1927280968552383
Pinto beans,Dried,1.2933,per pound,0.28512382482598914
Potatoes,Fresh,0.6682,per pound,0.14731287384885636
"Potatoes, french fries",Frozen,1.5371,per pound,0.33887252079179453
Potatoes,Canned,1.107,per pound,0.24405170809740198
Pumpkin,Canned,2.0172,per pound,0.44471644586637693
Radish,Fresh,1.577,per pound,0.347668964471186
Red peppers,Fresh,2.1614,per pound,0.47650710197084434
"Spinach, boiled",Fresh,2.994,per pound,0.6600639693257647
"Spinach, eaten raw",Fresh,2.994,per pound,0.6600639693257647
Spinach,Canned,1.3154,per pound,0.289996040498033
Spinach,Frozen,2.133,per pound,0.4702459741388965
Sweet potatoes,Fresh,1.1198,per pound,0.24687362486673056
"Tomatoes, grape & cherry",Fresh,4.1458,per pound,0.9139923861158169
"Tomatoes, roma & plum",Fresh,1.1618,per pound,0.25613303926609
"Tomatoes, large round",Fresh,2.3347,per pound,0.5147132094805822
Tomatoes,Canned,1.0175,per pound,0.22432033693686226
Turnip greens,Fresh,2.4176,per pound,0.5329895298069368
Turnip greens,Canned,1.0429,per pound,0.22992007802599868
Turnip greens,Frozen,1.9451,per pound,0.42882111781414334
Zucchini,Fresh,1.5489,per pound,0.34147397531351936
